gene_id	gene_name	ZR1-D	ZR1-V	ZR3-D	ZR3-V	ZR4-D	ZR4-V	ZR5-D	ZR5-V	ZR6-D	ZR6-V	ZR7-D	ZR7-V
ENSG00000000003	TSPAN6	2.915075218441178	2.9478969824227153	3.029211168897667	2.5306485582062472	1.9165983499151449	1.748160728655188	1.76012114953702	2.0516462395177886	2.021113341235198	1.7790844727897959	2.0384115099689186	1.4436431284788243
ENSG00000000419	DPM1	3.9756292414943477	3.5673797819367374	4.284107143517028	4.167080663745253	3.719508794676845	3.663310010365305	3.6346909580119475	3.982920435651784	3.6370181096882925	3.7058210792176185	3.4684289888013473	3.806978549319673
ENSG00000000457	SCYL3	4.2424251041245435	4.50886727584566	3.7860468408269807	4.165199643650617	3.9468906554628096	3.990442075295063	4.03011209030599	4.227315998232138	4.159516933538377	4.021774935786041	3.7899299748242035	4.319016254201987
ENSG00000000460	C1orf112	2.156114775956772	2.50472884101342	2.3636784971442553	2.6917658567269864	1.7843004464576775	1.9756855746549724	2.0407387894878894	2.1887399712176507	2.4269922162530393	2.2198436696120605	2.2367998647432565	2.317853925413444
ENSG00000001036	FUCA2	3.983632175876828	3.8217120707199554	4.498834716581413	4.429272521033155	3.938688753144456	3.9418353135572035	3.8927771810143206	3.945409838318434	3.747452792566573	3.941099013909181	3.769926252962049	3.686983020801347
ENSG00000001084	GCLC	3.4272456861264167	3.3141043640001673	3.2138558757672846	3.228610963450292	3.500913153963756	3.422214580944002	3.4390144986075084	3.2625280182371545	3.306638349829763	3.273656790751624	3.5479537289463203	3.230733688972131
ENSG00000001167	NFYA	3.2205996257479508	3.056739490323727	3.2300163930532086	3.242055911708139	3.3452551914372433	3.356731221050303	3.4363383302210053	3.507138374195486	3.4452010033955878	3.4752181050255633	3.3867455940526283	3.4417838435685746
ENSG00000001460	STPG1	2.7512339494085696	3.2335131542804225	2.257030272095884	2.484483083515829	2.126406940383041	2.146175682924989	2.1086508604926903	2.1628795152936915	2.285407973552698	2.0272592407270613	2.190048876252968	2.4236438092332566
ENSG00000001461	NIPAL3	4.9413795160375145	5.052279248852448	4.6943798639376215	4.696432084353603	5.10066429720332	5.202279522260446	5.078727821427817	5.283173702499919	5.131975103772435	5.282428695716934	5.0678574735800215	5.16542220873216
ENSG00000001497	LAS1L	4.724198839433814	4.4122591730850385	5.158187558822762	5.012574846799099	4.279106063563191	4.291241695313387	4.31825046561901	4.379959279080159	4.36834793656921	4.30378182366773	4.358676978029709	4.443173452035511
ENSG00000001561	ENPP4	2.870164603545722	3.3372864862579354	3.280520841538526	3.1264148839200665	3.0007587755737486	3.1893762644164223	3.0841457222587882	3.134337249915821	3.194031733832521	2.850494938967401	3.0402807988164584	2.9849735204341608
ENSG00000001617	SEMA3F	5.297938555415141	5.412357249375079	5.203484054544711	5.4498353071830135	5.174649825974845	5.218068875892149	5.161569028583979	5.120062013983766	5.343263928733146	5.362429863739322	5.326410347173537	5.313456591783405
ENSG00000001629	ANKIB1	4.6841077630853665	4.979889110296909	4.024674219801282	4.4185888987732955	5.396479608596676	5.533452689038121	5.528883149714689	5.375841207601821	5.402500152344523	5.234169315517072	5.418454917051655	5.498460716929711
ENSG00000001630	CYP51A1	-0.5033397338838124	0.45598563461683383	-0.09053279740165676	0.03443412619249342	0.9038342360773997	0.8355972159576832	0.7512393438331912	0.6092946867866647	0.9713096405002375	0.8845746439887554	1.1938869277427604	1.2445064869284899
ENSG00000001631	KRIT1	2.0411901094751457	0.9174506278439165	2.3338920133431484	2.060092217650028	2.0149795721630452	2.1665415494239992	1.9110405456613189	2.230251677559596	1.4848286275652094	1.7811625700728657	1.733277380404243	1.8330799412889456
ENSG00000002016	RAD52	2.8693833407852978	1.8782020163666822	2.06625795622642	2.0244245242253367	2.864047087590089	3.025013503150169	2.9823350436492437	3.044831101055097	2.805852474068873	2.7137112087842112	2.9762412469753565	3.0068415013322163
ENSG00000002330	BAD	3.403625273051357	4.0638546425058	3.3522260168181717	3.509585049750133	3.2463278354028953	3.006469936322642	3.2801441350407674	3.6105117238632802	3.5646122698500147	3.41615810512474	3.398293043342791	3.543836363680458
ENSG00000002549	LAP3	4.261273854186784	4.09440064087993	4.285615004357196	4.378374833751195	4.27874436293364	4.268158762607436	4.20557244765418	4.345179572555027	4.251090090406091	4.30908725062334	4.260544552358218	4.264347691724671
ENSG00000002586	CD99	5.285570975988949	5.037928433263463	5.502089678892304	5.53723529098971	5.243926394389745	5.238805673090942	5.219793793959596	5.113660972315111	5.15929114460527	5.312849531345189	5.274250877427123	5.070387863352756
ENSG00000002834	LASP1	6.3097547486362195	6.769357402571286	5.662278857647962	6.242907035552876	6.514349485238887	6.716144723696615	6.494244185476619	6.334867890823268	6.22537911446463	6.4978751375723665	6.400110426583282	6.344427388133109
ENSG00000002919	SNX11	3.0944139755213755	3.624743275000324	3.4802859832644546	3.282237743224492	3.2882440200188094	3.411101395547262	3.221289035093403	3.5873279354971657	3.5019698621174995	3.408109599796324	3.4258961243974313	3.446494940905743
ENSG00000003056	M6PR	5.3745538574329075	5.97292178595324	4.197281964247026	5.083978074150495	6.104141608748496	6.288045442066224	6.211095061353253	6.173461058717199	6.444518459051503	6.169396839996739	6.279007693957501	6.375221309641232
ENSG00000003096	KLHL13	2.61361268599046	3.287548529986229	2.5161007172720296	2.6604738077513295	1.7487367906100877	1.8527305007649049	1.2615787041863582	1.9691292184478622	2.0140667591090233	2.200342237671305	1.837849720510234	2.187032734804595
